#Code,description
#Extracted from http://www.publictendering.com/xls/CPV2008es.xls on 20151010. Converted using in2csv.
43613000-3,Partes de cortadoras y arrancadoras de carbón o roca
43613100-4,Partes de cortadoras y arrancadoras de carbón
43613200-5,Partes de cortadoras y arrancadoras de roca
43614000-0,Partes de máquinas para perforar túneles o galerías
43620000-5,Partes de máquinas para tratamiento de minerales
43630000-8,Partes de máquinas o aparatos de perforación
43640000-1,Partes de maquinaria para excavar
43700000-0,Maquinaria para la metalurgia y sus partes
43710000-3,Máquinas para laminado de metales
43711000-0,Partes de maquinaria para laminado de metales
43720000-6,Máquinas de colar
43721000-3,Partes de máquinas de colar
43800000-1,Equipo de talleres
43810000-4,Equipo para trabajar madera
43811000-1,Máquinas lijadoras
43812000-8,Equipo de aserrado
43820000-7,Equipo para la fabricación de calzado
43830000-0,Herramientas mecánicas
43840000-3,Equipo de herrería
44000000-0,Estructuras y materiales de construcción; productos auxiliares para la construcción (excepto aparatos eléctricos)
44100000-1,Materiales de construcción y elementos afines
44110000-4,Materiales de construcción
44111000-1,Materiales para obras de construcción
44111100-2,Ladrillos
44111200-3,Cemento
44111210-6,Cemento de perforación
44111300-4,Cerámica
44111400-5,Pinturas y revestimientos de paredes
44111500-6,Aislantes y accesorios aislantes
44111510-9,Aislantes
44111511-6,Aislantes eléctricos
44111520-2,Material aislante térmico
44111530-5,Accesorios de aislamiento eléctrico
44111540-8,Vidrio aislante
44111600-7,Bloques
44111700-8,Baldosas
44111800-9,Mortero (construcción)
44111900-0,Losas de cerámica
44112000-8,Estructuras de edificación diversas
44112100-9,Refugios
44112110-2,Partes de refugios
44112120-5,Secciones de perfiles
44112200-0,Revestimientos para suelos
44112210-3,Revestimientos compactos para suelos
44112220-6,Falsos suelos
44112230-9,Linóleo
44112240-2,Parqué
44112300-1,Tabiques
44112310-4,Paredes divisorias
44112400-2,Tejados
44112410-5,Bastidores para tejados
44112420-8,Cimbras
44112430-1,Cerchas
44112500-3,Materiales para tejados
44112510-6,Tablillas
44112600-4,Aislamiento acústico
44112700-5,Vigas
44113000-5,Materiales para la construcción de carreteras
44113100-6,Materiales de pavimentación
44113120-2,Losetas
44113130-5,Piedra para pavimentación
44113140-8,Pavimentos de cantos rodados
44113200-7,Losas
44113300-8,Materiales revestidos
44113310-1,Materiales revestidos para carreteras
44113320-4,Grava bituminosa
44113330-7,Materiales de recubrimiento
44113500-0,Cuentas de vidrio
44113600-1,Betún y asfalto
44113610-4,Betún
44113620-7,Asfalto
44113700-2,Materiales para reparación de carreteras
44113800-3,Materiales para el acabado de superficies de carreteras
44113810-6,Tratamiento de superficies
44113900-4,Materiales para el mantenimiento de carreteras
44113910-7,Materiales para la viabilidad invernal
44114000-2,Hormigón
44114100-3,Hormigón preamasado
44114200-4,Productos de hormigón
44114210-7,Pilotes de hormigón
44114220-0,Tuberías y accesorios de hormigón
44114250-9,Losas de hormigón
44115000-9,Accesorios para la construcción
44115100-0,Cañerías
44115200-1,Materiales para fontanería y calefacción
44115210-4,Materiales de fontanería
44115220-7,Materiales para calefacción
44115310-5,Persianas enrollables
44115400-3,Claraboyas
44115500-4,Sistemas de extinción por aspersor
44115600-5,Remonte-escalera
44115700-6,Persianas exteriores
44115710-9,Marquesinas
44115800-7,Accesorios para interiores de edificios
44115810-0,Rieles para cortinas y cortinajes
44115811-7,Rieles para cortinas
44115900-8,Dispositivos de protección contra el sol
44130000-0,Colectores
44131000-7,Cámaras para aguas residuales
44132000-4,Elementos para alcantarillas
44133000-1,Cofias de hierro dúctil
44134000-8,Curvas
44140000-3,Productos relacionados con materiales de construcción
44141000-0,Conductos
44141100-1,Conductos eléctricos
44142000-7,Marcos
44143000-4,Palets
44144000-1,Postes (construcción)
44160000-9,"Conducciones, canalizaciones, tuberías de revestimiento, tubos y artículos conexos"
44161000-6,Conducciones
44161100-7,Gasoductos
44161110-0,Red de distribución de gas
44161200-8,Tuberías maestras
44161400-0,Conducciones subacuáticas
44161410-3,Conducciones submarinas
44161500-1,Conducciones de alta presión
44161600-2,Conductos de baja presión
44161700-3,Rascadores de conducciones
44161710-6,Lanzarrascadores
44161720-9,Receptores de rascador
44161730-2,Estaciones de rascador
44162000-3,Canalizaciones
44162100-4,Suministros para canalizaciones
44162200-5,Canalizaciones de distribución
44162300-6,Canalizaciones de descarga
44162400-7,Cámaras registro en arcilla vitrificada
44162500-8,Canalización de agua potable
44163000-0,Tuberías y accesorios
44163100-1,Tuberías
44163110-4,Tuberías de desagüe
44163111-1,Tuberías de drenaje
44163112-8,Sistema de drenaje
44163120-7,Tuberías de calefacción a distancia
44163121-4,Tuberías de calefacción
44163130-0,Tuberías de alcantarilla
44163140-3,Tuberías de agua y vapor
44163150-6,Tuberías de baja presión
44163160-9,Tuberías de distribución y sus accesorios
44163200-2,Accesorios para tubería
44163210-5,Abrazaderas para tuberías
44163230-1,Racores para tuberías
44163240-4,Juntas de tuberías
44163241-1,Juntas aislantes
44164000-7,Tubos de entubado y tubos de producción
44164100-8,Tubos de entubado
44164200-9,Tubos de producción
44164300-0,Artículos tubulares
44164310-3,Tubos y accesorios
44165000-4,"Mangueras, tubos y manguitos"
44165100-5,Mangueras
44165110-8,Mangueras de perforación
44165200-6,Tubos
44165210-9,Tubos ascendentes flexibles
44165300-7,Manguitos
44166000-1,Material tubular para pozos de petróleo
44167000-8,Accesorios diversos para tuberías
44167100-9,Acoplamientos
44167110-2,Bridas
44167111-9,Adaptadores de brida
44167200-0,Abrazaderas y collares de reparación
44167300-1,"Curvas, tes y accesorios para tuberías"
44167400-2,Codos
44170000-2,"Planchas, hojas, bandas y láminas relacionadas con materiales de construcción"
44171000-9,Planchas (construcción)
44172000-6,Hojas (construcción)
44173000-3,Bandas
44174000-0,Láminas
44175000-7,Paneles
44176000-4,Películas
44190000-8,Materiales de construcción diversos
44191000-5,Materiales de madera diversos para construcción
44191100-6,Madera contrachapada
44191200-7,Madera laminada
44191300-8,Tableros de partículas
44191400-9,Tableros de fibra
44191500-0,Madera densificada
44191600-1,Paneles de parqué
44192000-2,Otros materiales de construcción diversos
44192100-3,Espuma de PVC
44192200-4,Puntas
44200000-2,Productos estructurales
44210000-5,Estructuras y partes de estructuras
44211000-2,Edificios prefabricados
44211100-3,Edificios prefabricados modulares
44211110-6,Cabinas
44211200-4,Cubículos
44211300-5,Hospital de campaña
44211400-6,Cocinas de campaña
44211500-7,Invernaderos
44212000-9,"Productos estructurales y partes correspondientes, excepto edificios prefabricados"
44212100-0,Puente
44212110-3,Secciones de puentes
44212120-6,Estructuras de puentes
44212200-1,"Torres, mástiles de celosía, castilletes y pilares"
44212210-4,Castilletes
44212211-1,Torres de perforación
44212212-8,Torres de perforación estáticas
44212220-7,"Pilares, postes y estacas"
44212221-4,Pilares
44212222-1,Torres para transporte de energía eléctrica
44212223-8,Soportes para pilones
44212224-5,Postes para líneas aéreas
44212225-2,Postes
44212226-9,Postes de electricidad
44212227-6,Estacas
44212230-0,Torres
44212233-1,Torres de agua
44212240-3,Vigas de carga
44212250-6,Mástiles
44212260-9,Mástiles de antena de radio o de televisión
44212261-6,Mástiles de antena de radio
44212262-3,Mástiles de antena de televisión
44212263-0,Mástiles de celosía
44212300-2,Estructuras y partes
44212310-5,Andamiaje
44212311-2,Puntales de arco
44212312-9,Soportes de arco
44212313-6,Soportes
44212314-3,Soportes para suspensión de tubos
44212315-0,Equipo para andamiaje
44212316-7,Bridas de arco
44212317-4,Estructuras de andamiaje
44212318-1,Soportes de conducciones
44212320-8,Estructuras diversas
44212321-5,Marquesinas para paradas de autobús
44212322-2,Cabinas telefónicas
44212329-1,Mamparas de seguridad
44212380-6,Partes de estructuras
44212381-3,Revestimiento
44212382-0,Compuertas de descarga
44212383-7,Compuertas
44212390-9,Esclusas
44212391-6,Compuertas de esclusa
44212400-3,Estacada
44212410-6,Tablestacado
44212500-4,Ángulos y secciones
44212510-7,Ángulos
44212520-0,Secciones
44220000-8,Trabajos de ebanistería para la construcción
44221000-5,"Ventanas, puertas y elementos conexos"
44221100-6,Ventanas
44221110-9,Marcos para ventana
44221111-6,Unidades de doble acristalamiento
44221120-2,Puertas-ventana
44221200-7,Puertas
44221210-0,Tableros en bruto para puertas
44221211-7,Marcos para puerta
44221212-4,Puertas mosquiteras
44221213-1,Umbrales de puerta
44221220-3,Puertas cortafuego
44221230-6,Puertas de corredera
44221240-9,Puertas de garaje
44221300-8,Portones
44221310-1,Puertas de acceso
44221400-9,Contraventanas
44221500-0,Umbrales
44230000-1,Trabajos de carpintería para la construcción
44231000-8,Paneles prefabricados para cercas
44232000-5,Vigas de madera para tejado
44233000-2,Escaleras
44300000-3,"Cable, alambre y productos conexos"
44310000-6,Productos de alambre
44311000-3,Alambre de cabos
44312000-0,Alambre para cercas
44312300-3,Alambre de púas
44313000-7,Malla metálica
44313100-8,Cercado de tela metálica
44313200-9,Tela metálica
44315000-1,Hilo de máquina
44315100-2,Accesorios para soldadura autógena
44315200-3,Materiales para soldadura autógena
44315300-4,Materiales para soldadura blanda o para soldadura fuerte
44315310-7,Materiales para soldadura blanda
44315320-0,Materiales para soldadura fuerte
44316000-8,Ferretería
44316100-9,Yunques
44316200-0,Fragua portátil
44316300-1,Rejillas
44316400-2,Artículos de ferretería
44316500-3,Artículos de forja
44316510-6,Artículos de herrería
44317000-5,Eslingas de hierro o de acero
44318000-2,Conductores
44320000-9,Cables y productos conexos
44321000-6,Cables
44322000-3,Accesorios para cables
44322100-4,Conductos para cables
44322200-5,Conectores para cables
44322300-6,Tuberías para cables
44322400-7,Sujetacables
44330000-2,"Barras, varillas, alambre y perfiles utilizados en la construcción"
44331000-9,Barras
44332000-6,Varillas (construcción)
44333000-3,Alambre
44334000-0,Perfiles
44400000-4,Productos manufacturados diversos y artículos conexos
44410000-7,Artículos para baño y cocina
44411000-4,Aparatos sanitarios
44411100-5,Grifos
44411200-6,Bañeras
44411300-7,Lavabos
44411400-8,Platos de ducha
44411600-0,Bidés
44411700-1,"Asientos, tapas, cubetas, tazas y cisternas de inodoro"
44411710-4,Asientos de inodoro
44411720-7,Tapas de inodoro
44411740-3,Tazas de inodoro
44411750-6,Cisternas de inodoro
44411800-2,Urinarios
44420000-0,Artículos utilizados en la construcción
44421000-7,"Cajas fuertes, cajas de seguridad y puertas, blindadas o reforzadas"
44421300-0,Cajas de caudales
44421500-2,Puertas blindadas o reforzadas
44421600-3,Taquillas de seguridad
44421700-4,Cajas y taquillas
44421710-7,Taquillas para equipajes en consigna
44421720-0,Taquillas
44421721-7,Cajas fuertes
44421722-4,Cajas de seguridad
44421780-8,Cajas de seguridad para documentos
44421790-1,Cajas de seguridad para fondos
44422000-4,Buzones
44423000-1,Artículos diversos
44423100-2,Campanas
44423200-3,Escaleras de mano
44423220-9,Escaleras de tijera
44423230-2,Taburetes con escalones
44423300-4,Equipo para manipulación de mercancías
44423330-3,Plataformas para la manipulación de mercancías
44423340-6,Accesorios de cable para la manipulación de mercancías
44423400-5,Señales y artículos conexos
44423450-0,Placas indicadoras
44423460-3,Placas de dirección
44423700-8,Elementos para registros
44423710-1,Cajas de superficie
44423720-4,Cajas de delimitación
44423730-7,Marcos protectores de registros
44423740-0,Tapas de registro
44423750-3,Rejillas de sumidero
44423760-6,Tapas de acceso
44423790-5,Escalones de horquilla de registros
44423800-9,Sellos metálicos
44423810-2,Sellos de caucho
44423850-4,Formas
44423900-0,Ánodos sacrificatorios
44424000-8,Cajas y precintos para contadores
44424100-9,Cajas para contadores
44424200-0,Cinta adhesiva
44424300-1,Cinta reflectante
44425000-5,"Arandelas, juntas, bandas, barras y morteros de relleno"
44425100-6,Arandelas elásticas
44425110-9,Arandelas de refuerzo autoadhesivas
44425200-7,Juntas de caucho
44425300-8,Bandas elásticas
44425400-9,Morteros de relleno
44425500-0,Barras de plástico
44430000-3,Blindaje
44431000-0,Cubrejuntas
44440000-6,Cojinetes
44441000-3,Microesferas
44442000-0,Cojinetes de rodillos
44450000-9,Acero dulce
44451000-6,Cospeles
44452000-3,Depósitos para monedas de máquinas o aparatos que funcionan con monedas
44460000-2,Estemples y puntales de mina
44461000-9,Estemples
44461100-0,Estemples de mina
44462000-6,Puntales de mina
44464000-0,Orugas
44470000-5,Productos de hierro fundido
44480000-8,Equipos diversos contra incendios
44481000-5,Escaleras de plataforma
44481100-6,Escaleras contra incendios
44482000-2,Dispositivos contra incendios
44482100-3,Mangueras para incendios
44482200-4,Bocas de incendio
44500000-5,"Herramientas, cerraduras, llaves, bisagras, elementos de sujeción, cadenas y muelles"
44510000-8,Herramientas
44511000-5,Herramientas manuales
44511100-6,Layas y palas
44511110-9,Layas
44511120-2,Palas
44511200-7,Horcas de jardinería
44511300-8,"Azadas, picos, binaderas, rastrillos y rastrillos para playa"
44511310-1,Azadas
44511320-4,Picos
44511330-7,Binaderas
44511340-0,Rastrillos
44511341-7,Rastrillos para playa
44511400-9,Hachas
44511500-0,Sierras de mano
44511510-3,Hojas para sierras de mano
44512000-2,Herramientas manuales diversas
44512100-3,Formones
44512200-4,Alicates
44512210-7,Alicates de engarzar
44512300-5,Martillos
44512400-6,Perrillos tensores de mano
44512500-7,Llaves de tuercas
44512600-8,Herramientas para trabajos viales
44512610-1,Púas para estriar superficies de carreteras
44512700-9,Limas o escofinas
44512800-0,Destornilladores
44512900-1,"Brocas para taladros, cabezas para destornillador y demás accesorios"
44512910-4,Brocas para taladros
44512920-7,Cabezas para destornillador
44512930-0,Portaherramientas
44512940-3,Estuches de herramientas
44513000-9,Herramientas de pedal
44514000-6,Mangos y piezas de herramientas
44514100-7,Mangos de herramientas
44514200-8,Piezas de herramientas
44520000-1,"Cerraduras, llaves y bisagras"
44521000-8,Cerraduras y candados diversos
44521100-9,Cerraduras
44521110-2,Cerraduras para puertas
44521120-5,Cerraduras de seguridad electrónicas
44521130-8,Cerraduras de alta seguridad
44521140-1,Cerraduras para muebles
44521200-0,Candados y cadenas
44521210-3,Candados
44522000-5,"Cierres, partes de cerraduras y llaves"
44522100-6,Cierres
44522200-7,Llaves
44522300-8,Partes de candados
44522400-9,Partes de cerraduras
44523000-2,"Bisagras, guarniciones y accesorios"
44523100-3,Bisagras
44523200-4,Guarniciones
44523300-5,Accesorios
44530000-4,Elementos de sujeción
44531000-1,Elementos roscados de sujeción
44531100-2,Tornillos para madera
44531200-3,"Escarpias o armellas, roscadas"
44531300-4,Tornillos taladradores
44531400-5,Pernos
44531500-6,Juegos de uniones de bridas
44531510-9,Pernos y tornillos
44531520-2,Tirafondos y tornillos
44531600-7,Tuercas
44531700-8,Artículos con rosca de hierro o de acero
44532000-8,Elementos de sujeción sin roscar
44532100-9,Remaches
44532200-0,Arandelas
44532300-1,Pasadores de chaveta
44532400-2,Bridas de acero
44533000-5,Elementos de sujeción de cobre
44540000-7,Cadenas
44541000-4,Cadena articulada
44542000-1,Partes de cadenas
44550000-0,Muelles (resortes)
44600000-6,"Cisternas, depósitos y contenedores; radiadores y calderas de calefacción central"
44610000-9,"Cisternas, depósitos, contenedores y recipientes a presión"
44611000-6,Cisternas
44611100-7,Cilindros de aire
44611110-0,Cilindros neumáticos
44611200-8,Aparatos respiratorios
44611400-0,Cisternas para almacenamiento
44611410-3,Cisternas para almacenamiento de petróleo
44611420-6,Cisternas para almacenamiento de lodos
44611500-1,Cisternas para agua
44611600-2,Depósitos
44612000-3,Recipientes de gas licuado
44612100-4,Bombonas de gas
44612200-5,Depósitos de gas
44613000-0,Grandes contenedores
44613110-4,Silos
44613200-2,Contenedores refrigerados
44613210-5,Cisternas de agua
44613300-3,Contenedores estandarizados para transporte
44613400-4,Contenedores de almacenamiento
44613500-5,Contenedores para agua
44613600-6,Contenedores sobre ruedas
44613700-7,Contenedores de basura
44613800-8,Contenedores para residuos
44614000-7,Barriles
44614100-8,Recipientes de almacenamiento
44614300-0,Sistema de almacenamiento en contenedores
44614310-3,Apiladora mecánica
44615000-4,Recipientes a presión
44615100-5,Recipientes a presión de acero
44616000-1,Bidones
44616200-3,Bidones de residuos
44617000-8,Cajas
44617100-9,Cartones
44617200-0,Compartimentos para contadores
44617300-1,Cajas prefabricadas
44618000-5,"Recipientes ligeros, tapones, tapas, cubas y tapaderas"
44618100-6,Recipientes ligeros
44618300-8,"Tapones, tapones de rosca, tapas y tapaderas"
44618310-1,Tapones con opérculo de corcho
44618320-4,Tapones de rosca
44618330-7,Tapas para contenedores
44618340-0,Tapaderas
44618350-3,Cápsulas de plástico
44618400-9,Latas
44618420-5,Latas de conservas
44618500-0,Cubas
44619000-2,Otros recipientes
44619100-3,Estuches
44619200-4,Carretes para cables
44619300-5,Jaulas
44619400-6,Barriles de madera
44619500-7,Cajas paleta
44620000-2,"Radiadores y calderas para calefacción central, y sus partes"
44621000-9,Radiadores y calderas
44621100-0,Radiadores
44621110-3,Radiadores para calefacción central
44621111-0,Radiadores para calefacción central no eléctricos
44621112-7,Partes de radiadores para calefacción central
44621200-1,Calderas
44621210-4,Calderas de agua
44621220-7,Calderas para calefacción central
44621221-4,Partes de calderas para calefacción central
44622000-6,Sistemas de termorrecuperación
44622100-7,Equipo termorrecuperador
44800000-8,"Pinturas, barnices y mástiques"
44810000-1,Pinturas
44811000-8,Pintura para señalización de carreteras
44812000-5,Pinturas para pintura artística
44812100-6,Esmaltes y pinturas transparentes
44812200-7,Pinturas al óleo y al agua
44812210-0,Pinturas al óleo
44812220-3,Pinturas al agua
44812300-8,Pinturas para la enseñanza
44812310-1,Juegos de colores
44812320-4,Colores para pintura de letreros
44812400-9,Artículos para decoración
44820000-4,Barnices
44830000-7,"Mástiques, plastes de relleno, masillas y disolventes"
44831000-4,"Mástiques, plastes de relleno y masilla"
44831100-5,Mástiques
44831200-6,Plastes de relleno
44831300-7,Masilla
44831400-8,Lechada de cemento
44832000-1,Disolventes
44832100-2,Decapante para pintura
44832200-3,Diluyentes
44900000-9,"Piedra para construcción, piedra caliza, yeso y pizarra"
44910000-2,Piedra para construcción
44911000-9,Mármol y piedra calcárea de construcción
44911100-0,Mármol
44911200-1,Travertino
44912000-6,Diversas piedras de construcción
44912100-7,Granito
44912200-8,Arenisca
44912300-9,Basalto
44912400-0,Piedras de bordillo
44920000-5,"Piedra caliza, yeso y creta"
44921000-2,Piedra caliza y yeso
44921100-3,Yeso
44921200-4,Cal
44921210-7,Cal en polvo
44921300-5,Piedra caliza
44922000-9,Creta y dolomita
44922100-0,Creta
44922200-1,Dolomita
44930000-8,Pizarra
45000000-7,Trabajos de construcción
45100000-8,Trabajos de preparación del terreno
45110000-1,Trabajos de demolición de inmuebles y movimiento de tierras
45111000-8,"Trabajos de demolición, explanación y limpieza del terreno"
45111100-9,Trabajos de demolición
45111200-0,Trabajos de explanación y limpieza del terreno
45111210-3,Trabajos de voladura y consiguiente retirada de rocas
45111211-0,Trabajos de voladura
45111212-7,Trabajos de retirada de rocas
45111213-4,Trabajos de limpieza del terreno
45111214-1,Trabajos de evacuación de escombros de demolición
45111220-6,Trabajos de desbrozo
45111230-9,Trabajos de estabilización del terreno
45111240-2,Trabajos de drenaje del terreno
45111250-5,Trabajos de estudio del suelo
45111260-8,Trabajos de preparación del terreno para la minería
45111290-7,Trabajos primarios para servicios
45111291-4,Trabajos de ordenación del terreno
45111300-1,Trabajos de desmantelamiento
45111310-4,Trabajos de desmantelamiento para instalaciones militares
45111320-7,Trabajos de desmantelamiento para instalaciones de seguridad
45112000-5,Trabajos de excavación y movimiento de tierras
45112100-6,Trabajos de excavación de zanjas
45112200-7,Trabajos de desmonte de suelos
45112210-0,Trabajos de levantamiento de las capas superficiales
45112300-8,Trabajos de relleno y recuperación del suelo
45112310-1,Trabajos de relleno
45112320-4,Trabajos de recuperación del suelo
45112330-7,Trabajos de recuperación del terreno
45112340-0,Trabajos de descontaminación de suelos
45112350-3,Aprovechamiento de tierras estériles
45112360-6,Trabajos de rehabilitación del suelo
45112400-9,Trabajos de excavación
45112410-2,Trabajos de excavación de sepulturas
45112420-5,Trabajos de excavación del basamento
45112440-1,Terraplenado de laderas
45112441-8,Trabajos de terraplenado
45112450-4,Obras de excavación en yacimientos arqueológicos
45112500-0,Trabajos de movimiento de tierras
45112600-1,Corte y relleno
45112700-2,Trabajos de paisajismo
45112710-5,Trabajos de paisajismo en zonas verdes
45112711-2,Trabajos de paisajismo en parques
45112712-9,Trabajos de paisajismo en jardines
45112713-6,Paisajismo para jardines de terraza
45112714-3,Trabajos de paisajismo en cementerios
45112720-8,Trabajos de paisajismo en zonas deportivas y recreativas
45112721-5,Trabajos de paisajismo en campos de golf
45112722-2,Trabajos de paisajismo de campos de equitación
45112723-9,Trabajos de paisajismo en parques infantiles
45112730-1,Paisajismo en carreteras y autopistas
45112740-4,Obras de paisajismo en aeropuertos
45113000-2,Trabajos a pie de obra
45120000-4,Trabajos de perforación y sondeo
45121000-1,Trabajos de perforación
45122000-8,Trabajos de sondeo
45200000-9,Trabajos generales de construcción de inmuebles y obras de ingeniería civil
45210000-2,Trabajos de construcción de inmuebles
45211000-9,Trabajos de construcción de inmuebles de viviendas colectivas y unifamiliares
45211100-0,Trabajos de construcción para viviendas
45211200-1,Trabajos de construcción de viviendas tuteladas
45211300-2,Trabajos de construcción de viviendas
45211310-5,Trabajos de construcción de cuartos de baño
45211320-8,Trabajos de construcción de porches
45211340-4,Trabajos de construcción de inmuebles de viviendas colectivas
45211341-1,Trabajos de construcción de pisos
45211350-7,Trabajos de construcción de inmuebles multifuncionales
45211360-0,Trabajos de construcción de desarrollo urbano
45211370-3,Trabajos de construcción de saunas
45212000-6,"Trabajos de construcción de edificios relacionados con el ocio, los deportes, la cultura y el alojamiento y restaurantes"
45212100-7,Trabajos de construcción de instalaciones de ocio
45212110-0,Trabajos de construcción de centros de ocio
45212120-3,Trabajos de construcción de parques temáticos
45212130-6,Trabajos de construcción de parques de atracciones
45212140-9,Instalación de recreo
45212150-2,Trabajos de construcción de cines
45212160-5,Trabajos de construcción de casinos
45212170-8,Trabajos de construcción de edificios para actividades de recreo
45212171-5,Trabajos de construcción de centros de esparcimiento
45212172-2,Trabajos de construcción de centros de recreo
45212180-1,Trabajos de construcción de taquillas de billetes
45212190-4,Obras de protección contra el sol
45212200-8,Trabajos de construcción de instalaciones deportivas
45212210-1,Trabajos de construcción de instalaciones deportivas para la práctica de un solo deporte
45212211-8,Trabajos de construcción de pistas de patinaje
45212212-5,Trabajos de construcción de piscinas
45212213-2,Trabajos de marcado para instalaciones deportivas
45212220-4,Trabajos de construcción de instalaciones polideportivas
45212221-1,Trabajos de construcción de estructuras para campos de deportes
45212222-8,Trabajos de construcción de gimnasios
45212223-5,Trabajos de construcción de instalaciones para deportes de invierno
45212224-2,Trabajos de construcción de estadios
45212225-9,Trabajos de construcción de polideportivos
45212230-7,Instalación de vestuarios
45212290-5,Reparación y mantenimiento de instalaciones deportivas
45212300-9,Trabajos de construcción de edificios culturales y relacionados con el arte
45212310-2,Trabajos de construcción de edificios relacionados con exposiciones
45212311-9,Trabajos de construcción de galerías de arte
45212312-6,Trabajos de construcción de centros de exposiciones
45212313-3,Trabajos de construcción de museos
45212314-0,Trabajos de construcción de monumentos históricos o conmemorativos
45212320-5,Trabajos de construcción de edificios relacionados con actividades artísticas
45212321-2,Trabajos de construcción de auditorios
45212322-9,Trabajos de construcción de teatros
45212330-8,Trabajos de construcción de bibliotecas
45212331-5,Trabajos de construcción de bibliotecas multimedia
45212340-1,Trabajos de construcción de salas de conferencias
45212350-4,Edificios de interés histórico o arquitectónico
45212351-1,Trabajos de construcción de monumentos prehistóricos
45212352-8,Trabajos de construcción de monumentos industriales
45212353-5,Trabajos de construcción de palacios
45212354-2,Trabajos de construcción de castillos
45212360-7,Trabajos de construcción de edificios religiosos
45212361-4,Trabajos de construcción de iglesias
45212400-0,Edificios de alojamiento y de restauración
45212410-3,Trabajos de construcción de edificios de alojamiento
45212411-0,Trabajos de construcción de hoteles
45212412-7,Trabajos de construcción de albergues
45212413-4,Trabajos de construcción de alojamientos de corta duración
45212420-6,Trabajos de construcción de restaurantes y establecimientos similares
45212421-3,Trabajos de construcción de restaurantes
45212422-0,Trabajos de construcción de cantinas
45212423-7,Trabajos de construcción de cafeterías
45212500-1,Transformación de cocinas o restaurantes
45212600-2,Trabajos de construcción de pabellones
45213000-3,"Trabajos de construcción de locales comerciales, almacenes y edificios industriales, edificios relacionados con el transporte"
45213100-4,Trabajos de construcción de edificios comerciales
45213110-7,Trabajos de construcción de establecimientos comerciales
45213111-4,Trabajos de construcción de centros comerciales
45213112-1,Trabajos de construcción de comercios
45213120-0,Trabajos de construcción de oficinas de correos
45213130-3,Trabajos de construcción de bancos
45213140-6,Trabajos de construcción de mercados
45213141-3,Trabajos de construcción de mercados cubiertos
45213142-0,Trabajos de construcción de mercados al aire libre
45213150-9,Trabajos de construcción de edificios de oficinas
45213200-5,Trabajos de construcción de almacenes y edificios industriales
45213210-8,Instalaciones de depósitos frigoríficos
45213220-1,Trabajos de construcción de locales de almacenamiento
45213221-8,Trabajos de construcción de almacenes
45213230-4,Trabajos de construcción de mataderos
45213240-7,Trabajos de construcción de edificios agrícolas
45213241-4,Trabajos de construcción de graneros
45213242-1,Trabajos de construcción de establos
45213250-0,Trabajos de construcción de edificios industriales
45213251-7,Trabajos de construcción de locales industriales
45213252-4,Trabajos de construcción de talleres
45213260-3,Trabajos de construcción de depósitos
45213270-6,Trabajos de construcción de plantas de reciclado
45213280-9,Trabajos de construcción de instalaciones de compostaje
45213300-6,Edificios relacionados con el transporte
45213310-9,Trabajos de construcción de edificios relacionados con el transporte por carretera
45213311-6,Trabajos de construcción de estaciones de autobuses
45213312-3,Trabajos de construcción de edificios de estacionamiento de vehículos
45213313-0,Trabajos de construcción de edificios de áreas de servicio
45213314-7,Trabajos de construcción de cocheras de autobuses
45213315-4,Trabajos de construcción de marquesinas de paradas de autobús
45213316-1,Trabajos de instalación de pasarelas
45213320-2,Trabajos de construcción de edificios relacionados con el transporte ferroviario
45213321-9,Trabajos de construcción de estaciones de ferrocarril
45213322-6,Trabajos de construcción de edificios de terminales ferroviarias
45213330-5,Trabajos de construcción de edificios relacionados con el transporte aéreo
45213331-2,Trabajos de construcción de edificios de aeropuerto
45213332-9,Trabajos de construcción de torres de control de aeropuerto
45213333-6,Trabajos de instalación de mostradores de facturación de aeropuertos
45213340-8,Trabajos de construcción de edificios relacionados con el transporte por vías navegables
45213341-5,Trabajos de construcción de edificios de terminales de transbordadores
45213342-2,Trabajos de construcción de terminales Ro-Ro
45213350-1,Trabajos de construcción de edificios relacionados con diversos medios de transporte
45213351-8,Trabajos de construcción de hangares de mantenimiento
45213352-5,Trabajos de construcción de depósitos de servicio
45213353-2,Trabajos de instalación de pasarelas de embarque de pasajeros
45213400-7,Instalación de salas de personal
45214000-0,Trabajos de construcción de edificios relacionados con la enseñanza y la investigación
45214100-1,Trabajos de construcción de edificios para jardín de infancia
45214200-2,Trabajos de construcción de edificios escolares
45214210-5,Trabajos de construcción de centros de enseñanza primaria
45214220-8,Trabajos de construcción de centros de enseñanza secundaria
45214230-1,Trabajos de construcción de centros de enseñanzas especiales
45214300-3,Trabajos de construcción de centros de formación profesional y técnica
45214310-6,Trabajos de construcción de centros de formación profesional
45214320-9,Trabajos de construcción de centros de formación técnica
45214400-4,Trabajos de construcción de edificios universitarios
45214410-7,Trabajos de construcción de escuelas politécnicas superiores
45214420-0,Trabajos de construcción de aulas de conferencias
45214430-3,Trabajos de construcción de laboratorios de idiomas
45214500-5,Trabajos de construcción de edificios de enseñanza postescolar
45214600-6,Trabajos de construcción de edificios de investigaciones
45214610-9,Trabajos de construcción de edificios de laboratorio
45214620-2,Trabajos de construcción de instalaciones para investigación y ensayos
45214630-5,Instalaciones científicas
45214631-2,Trabajos de instalación de salas blancas
